stop,station,lat,lng,time
1121,Westlake,47.611801,-122.335823,8
565,University Street,47.608246,-122.336166,10
532,Pioneer Square,47.603199,-122.331581,12
621,International District/Chinatown,47.59845,-122.32782,15
99260,Stadium,47.592281,-122.326988,17
99256,SODO,47.580589,-122.327263,19
99240,Beacon Hill,47.579678,-122.311401,22
55860,Mount Baker,47.576992,-122.297867,24
55778,Columbia City,47.56028,-122.292892,27
55656,Othello,47.538483,-122.281677,31
55578,Rainier Beach,47.522953,-122.279083,34
99905,Tukwila International Blvd,47.463924,-122.288002,43
99903,SeaTac/Airport,47.444939,-122.296715,46
